,symbol,ticker
69,OTC:ABBRF,ABBRF
70,NYSE:ABBV,ABBV
71,NYSE:ABCB,ABCB
72,OTC:ABCCF,ABCCF
73,OTC:ABCFF,ABCFF
74,NASDAQ:ABCL,ABCL
75,OTC:ABCP,ABCP
76,NASDAQ:ABCS,ABCS
77,OTC:ABDBY,ABDBY
78,OTC:ABDDF,ABDDF
79,NASDAQ:ABEO,ABEO
80,OTC:ABEPF,ABEPF
81,AMEX:ABEQ,ABEQ
82,NYSE:ABEV,ABEV
83,CBOE:ABFL,ABFL
84,NYSE:ABG,ABG
85,OTC:ABGSF,ABGSF
86,NASDAQ:ABI,ABI
87,NASDAQ:ABIG,ABIG
88,OTC:ABIT,ABIT
89,NASDAQ:ABL,ABL
90,CBOE:ABLD,ABLD
91,CBOE:ABLG,ABLG
92,NASDAQ:ABLLL,ABLLL
93,CBOE:ABLS,ABLS
94,NASDAQ:ABLV,ABLV
95,OTC:ABLZF,ABLZF
96,NYSE:ABM,ABM
97,OTC:ABMBF,ABMBF
98,OTC:ABMRF,ABMRF
99,OTC:ABNAF,ABNAF
100,NASDAQ:ABNB,ABNB
101,AMEX:ABNY,ABNY
102,NASDAQ:ABOS,ABOS
103,CBOE:ABOT,ABOT
104,NASDAQ:ABP,ABP
105,OTC:ABPR,ABPR
106,OTC:ABQQ,ABQQ
107,NYSE:ABR,ABR
108,NYSE:ABR/PD,ABR/PD
109,NYSE:ABR/PE,ABR/PE
110,NYSE:ABR/PF,ABR/PF
111,OTC:ABRHS,ABRHS
112,OTC:ABRMF,ABRMF
113,NASDAQ:ABSI,ABSI
114,OTC:ABSSF,ABSSF
115,NYSE:ABT,ABT
116,NASDAQ:ABTC,ABTC
117,NASDAQ:ABTS,ABTS
118,NASDAQ:ABUS,ABUS
119,NASDAQ:ABVC,ABVC
120,NASDAQ:ABVE,ABVE
121,OTC:ABVG,ABVG
122,OTC:ABVN,ABVN
123,NASDAQ:ABVX,ABVX
124,CBOE:ABXB,ABXB
125,OTC:ABXXF,ABXXF
126,NYSE:ACA,ACA
127,NASDAQ:ACAD,ACAD
128,OTC:ACAN,ACAN
129,OTC:ACAZF,ACAZF
130,NASDAQ:ACB,ACB
131,OTC:ACCMF,ACCMF
132,NYSE:ACCO,ACCO
133,OTC:ACCR,ACCR
134,AMEX:ACCS,ACCS
135,OTC:ACCYY,ACCYY
136,OTC:ACDBF,ACDBF
137,NASDAQ:ACDC,ACDC
138,OTC:ACDSF,ACDSF
139,OTC:ACDVF,ACDVF
140,OTC:ACDXF,ACDXF
141,OTC:ACEHF,ACEHF
142,AMEX:ACEI,ACEI
143,NYSE:ACEL,ACEL
144,AMEX:ACES,ACES
145,NASDAQ:ACET,ACET
146,NASDAQ:ACFN,ACFN
147,OTC:ACGAF,ACGAF
148,OTC:ACGBF,ACGBF
149,OTC:ACGBY,ACGBY
150,NASDAQ:ACGL,ACGL
151,NASDAQ:ACGLN,ACGLN
152,NASDAQ:ACGLO,ACGLO
153,OTC:ACGP,ACGP
154,AMEX:ACGR,ACGR
155,OTC:ACGX,ACGX
156,OTC:ACGYF,ACGYF
157,NASDAQ:ACHC,ACHC
158,OTC:ACHFF,ACHFF
159,NYSE:ACHR,ACHR
160,NASDAQ:ACHV,ACHV
161,OTC:ACHWS,ACHWS
162,NYSE:ACI,ACI
163,NASDAQ:ACIC,ACIC
164,AMEX:ACII,ACII
165,CBOE:ACIO,ACIO
166,NASDAQ:ACIU,ACIU
167,NASDAQ:ACIW,ACIW
168,OTC:ACIXF,ACIXF
169,OTC:ACKAY,ACKAY
170,OTC:ACKDF,ACKDF
171,AMEX:ACKY,ACKY
172,AMEX:ACLC,ACLC
173,OTC:ACLIF,ACLIF
174,OTC:ACLLF,ACLLF
175,OTC:ACLLY,ACLLY
176,NYSE:ACLO,ACLO
177,NASDAQ:ACLS,ACLS
178,NASDAQ:ACLX,ACLX
179,NYSE:ACM,ACM
180,OTC:ACMB,ACMB
181,OTC:ACMIF,ACMIF
182,OTC:ACMLF,ACMLF
183,NASDAQ:ACMR,ACMR
184,NYSE:ACN,ACN
185,NASDAQ:ACNB,ACNB
186,OTC:ACNDF,ACNDF
187,OTC:ACNFF,ACNFF
188,NASDAQ:ACNT,ACNT
189,NASDAQ:ACOG,ACOG
190,NASDAQ:ACON,ACON
191,OTC:ACOPF,ACOPF
192,OTC:ACOPY,ACOPY
193,NYSE:ACP,ACP
194,NYSE:ACP/PA,ACP/PA
195,OTC:ACPIF,ACPIF
196,NYSE:ACR,ACR
197,NYSE:ACR/PC,ACR/PC
198,NYSE:ACR/PD,ACR/PD
199,NYSE:ACRE,ACRE
200,OTC:ACRFF,ACRFF
201,OTC:ACRL,ACRL
202,NASDAQ:ACRS,ACRS
203,NASDAQ:ACRV,ACRV
204,OTC:ACSAY,ACSAY
205,CBOE:ACSI,ACSI
206,NASDAQ:ACT,ACT
207,NASDAQ:ACTG,ACTG
208,OTC:ACTL,ACTL
209,NASDAQ:ACTU,ACTU
210,AMEX:ACTV,ACTV
211,AMEX:ACU,ACU
212,OTC:ACUR,ACUR
213,OTC:ACUT,ACUT
214,NYSE:ACV,ACV
215,NYSE:ACVA,ACVA
216,OTC:ACVES,ACVES
217,AMEX:ACVF,ACVF
218,AMEX:ACVT,ACVT
219,NASDAQ:ACWI,ACWI
220,CBOE:ACWV,ACWV
221,NASDAQ:ACWX,ACWX
222,OTC:ACXAF,ACXAF
223,OTC:ACXIF,ACXIF
224,NASDAQ:ACXP,ACXP
225,NYSE:AD,AD
226,NASDAQ:ADAG,ADAG
227,NASDAQ:ADAM,ADAM
228,NASDAQ:ADAMG,ADAMG
229,NASDAQ:ADAMH,ADAMH
230,NASDAQ:ADAMI,ADAMI
231,NASDAQ:ADAML,ADAML
232,NASDAQ:ADAMM,ADAMM
233,NASDAQ:ADAMN,ADAMN
234,NASDAQ:ADAMZ,ADAMZ
235,NASDAQ:ADAP,ADAP
236,NASDAQ:ADBE,ADBE
237,NASDAQ:ADBG,ADBG
238,OTC:ADBN,ADBN
239,OTC:ADBRF,ADBRF
240,NYSE:ADC,ADC
241,NYSE:ADC/PA,ADC/PA
242,OTC:ADCOF,ADCOF
243,NYSE:ADCT,ADCT
244,OTC:ADCV,ADCV
245,OTC:ADDDF,ADDDF
246,OTC:ADDHY,ADDHY
247,OTC:ADDYY,ADDYY
248,NASDAQ:ADEA,ADEA
249,CBOE:ADFI,ADFI
250,OTC:ADFJF,ADFJF
251,OTC:ADFS,ADFS
252,NASDAQ:ADGM,ADGM
253,OTC:ADHC,ADHC
254,OTC:ADHI,ADHI
255,OTC:ADHLF,ADHLF
256,NASDAQ:ADI,ADI
257,OTC:ADIA,ADIA
258,NASDAQ:ADIL,ADIL
259,AMEX:ADIV,ADIV
260,OTC:ADLRF,ADLRF
261,NYSE:ADM,ADM
262,NASDAQ:ADMA,ADMA
263,CBOE:ADME,ADME
264,OTC:ADMG,ADMG
265,OTC:ADMQ,ADMQ
266,OTC:ADMT,ADMT
267,NASDAQ:ADN,ADN
268,NYSE:ADNT,ADNT
269,OTC:ADOOY,ADOOY
270,NASDAQ:ADP,ADP
271,NASDAQ:ADPT,ADPT
272,AMEX:ADPV,ADPV
273,OTC:ADRNY,ADRNY
274,OTC:ADRZY,ADRZY
275,NASDAQ:ADSE,ADSE
276,NASDAQ:ADSK,ADSK
277,OTC:ADSLF,ADSLF
278,OTC:ADSV,ADSV
279,NYSE:ADT,ADT
280,OTC:ADTI,ADTI
281,NASDAQ:ADTN,ADTN
282,OTC:ADTTF,ADTTF
283,NASDAQ:ADTX,ADTX
284,NASDAQ:ADUR,ADUR
285,NASDAQ:ADUS,ADUS
286,NASDAQ:ADV,ADV
287,NASDAQ:ADVB,ADVB
288,AMEX:ADVE,ADVE
289,NASDAQ:ADVM,ADVM
290,OTC:ADWPF,ADWPF
291,NYSE:ADX,ADX
292,OTC:ADXDF,ADXDF
293,NASDAQ:ADXN,ADXN
294,OTC:ADXRF,ADXRF
295,OTC:ADXS,ADXS
296,OTC:ADYEY,ADYEY
297,OTC:ADYRF,ADYRF
298,OTC:ADYX,ADYX
299,OTC:ADYYF,ADYYF
300,NASDAQ:AEBI,AEBI
301,OTC:AEBZY,AEBZY
302,NASDAQ:AEC,AEC
303,OTC:AECX,AECX
304,NYSE:AEE,AEE
305,AMEX:AEF,AEF
306,NYSE:AEFC,AEFC
307,NYSE:AEG,AEG
308,OTC:AEGOF,AEGOF
309,OTC:AEGXF,AEGXF
310,OTC:AEGY,AEGY
311,OTC:AEHBS,AEHBS
312,NASDAQ:AEHL,AEHL
313,NASDAQ:AEHR,AEHR
314,NASDAQ:AEI,AEI
315,OTC:AEIES,AEIES
316,NASDAQ:AEIS,AEIS
317,NYSE:AEM,AEM
318,NASDAQ:AEMD,AEMD
319,CBOE:AEMS,AEMS
320,NASDAQ:AENT,AENT
321,NYSE:AEO,AEO
322,AMEX:AEON,AEON
323,OTC:AEOXF,AEOXF
324,NASDAQ:AEP,AEP
325,OTC:AEPLF,AEPLF
326,OTC:AEPT,AEPT
327,NYSE:AER,AER
328,OTC:AERG,AERG
329,OTC:AERS,AERS
330,NASDAQ:AERT,AERT
331,NYSE:AES,AES
332,NYSE:AESI,AESI
333,CBOE:AESR,AESR
334,AMEX:AETH,AETH
335,OTC:AETHD,AETHD
336,OTC:AETUF,AETUF
337,NASDAQ:AEVA,AEVA
338,NYSE:AEXA,AEXA
339,OTC:AEXAF,AEXAF
340,OTC:AEXAY,AEXAY
341,OTC:AEXE,AEXE
342,NASDAQ:AEYE,AEYE
343,OTC:AEYGQ,AEYGQ
344,NYSE:AFB,AFB
345,NASDAQ:AFBI,AFBI
346,OTC:AFBOF,AFBOF
347,NASDAQ:AFCG,AFCG
348,OTC:AFDG,AFDG
349,OTC:AFFL,AFFL
350,OTC:AFFS,AFFS
351,OTC:AFFT,AFFT
352,OTC:AFFU,AFFU
353,OTC:AFFY,AFFY
354,NYSE:AFG,AFG
355,NYSE:AFGB,AFGB
356,NYSE:AFGC,AFGC
357,NYSE:AFGD,AFGD
358,NYSE:AFGE,AFGE
359,OTC:AFGYF,AFGYF
360,OTC:AFIB,AFIB
361,CBOE:AFIF,AFIF
362,OTC:AFIIQ,AFIIQ
363,AMEX:AFIX,AFIX
364,NASDAQ:AFJK,AFJK
365,AMEX:AFK,AFK
366,NYSE:AFL,AFL
367,AMEX:AFLG,AFLG
368,OTC:AFLYY,AFLYY
369,AMEX:AFMC,AFMC
370,OTC:AFMDQ,AFMDQ
371,OTC:AFMJF,AFMJF
372,OTC:AFML,AFML
373,OTC:AFOM,AFOM
374,NASDAQ:AFOS,AFOS
375,OTC:AFPW,AFPW
376,OTC:AFRAF,AFRAF
377,NASDAQ:AFRI,AFRI
378,NASDAQ:AFRM,AFRM
379,CBOE:AFRU,AFRU
380,NASDAQ:AFSC,AFSC
381,OTC:AFSIA,AFSIA
382,OTC:AFSIB,AFSIB
383,OTC:AFSIC,AFSIC
384,OTC:AFSIM,AFSIM
385,OTC:AFSIN,AFSIN
386,OTC:AFSIP,AFSIP
387,AMEX:AFSM,AFSM
388,OTC:AFTM,AFTM
389,NASDAQ:AFYA,AFYA
390,OTC:AFYG,AFYG
391,NYSE:AG,AG
392,NASDAQ:AGAE,AGAE
393,OTC:AGAGF,AGAGF
394,NYSE:AGCO,AGCO
395,NYSE:AGD,AGD
396,OTC:AGDY,AGDY
397,NASDAQ:AGEM,AGEM
398,NASDAQ:AGEN,AGEN
399,OTC:AGESY,AGESY
400,OTC:AGFMF,AGFMF
401,AMEX:AGG,AGG
402,NASDAQ:AGGA,AGGA
403,AMEX:AGGH,AGGH
404,OTC:AGGI,AGGI
405,AMEX:AGGS,AGGS
406,AMEX:AGGY,AGGY
407,OTC:AGGZF,AGGZF
408,NASDAQ:AGH,AGH
409,NYSE:AGI,AGI
410,OTC:AGILQ,AGILQ
411,OTC:AGIN,AGIN
412,NASDAQ:AGIO,AGIO
413,AMEX:AGIQ,AGIQ
414,NASDAQ:AGIX,AGIX
415,NYSE:AGL,AGL
416,OTC:AGLDF,AGLDF
417,OTC:AGLFF,AGLFF
418,OTC:AGLNF,AGLNF
419,OTC:AGLXY,AGLXY
420,NYSE:AGM,AGM
421,NYSE:AGM.A,AGM.A
422,NYSE:AGM/PD,AGM/PD
423,NYSE:AGM/PE,AGM/PE
424,NYSE:AGM/PF,AGM/PF
425,NYSE:AGM/PG,AGM/PG
426,NYSE:AGM/PH,AGM/PH
427,NASDAQ:AGMH,AGMH
428,NASDAQ:AGMI,AGMI
429,OTC:AGMJF,AGMJF
430,OTC:AGMRF,AGMRF
431,NASDAQ:AGNC,AGNC
432,NASDAQ:AGNCL,AGNCL
433,NASDAQ:AGNCM,AGNCM
434,NASDAQ:AGNCN,AGNCN
435,NASDAQ:AGNCO,AGNCO
436,NASDAQ:AGNCP,AGNCP
437,NASDAQ:AGNCZ,AGNCZ
438,NASDAQ:AGNG,AGNG
439,OTC:AGNMF,AGNMF
440,OTC:AGNPF,AGNPF
441,NYSE:AGO,AGO
442,AMEX:AGOX,AGOX
443,OTC:AGPPF,AGPPF
444,AMEX:AGQ,AGQ
445,AMEX:AGQI,AGQI
446,OTC:AGRDF,AGRDF
447,AMEX:AGRH,AGRH
448,NASDAQ:AGRI,AGRI
449,NYSE:AGRO,AGRO
450,OTC:AGRPF,AGRPF
451,OTC:AGRPY,AGRPY
452,AMEX:AGRW,AGRW
453,NASDAQ:AGRZ,AGRZ
454,OTC:AGSCF,AGSCF
455,OTC:AGSS,AGSS
456,OTC:AGTEF,AGTEF
457,OTC:AGTK,AGTK
458,OTC:AGTX,AGTX
459,NYSE:AGX,AGX
460,OTC:AGXKF,AGXKF
461,OTC:AGXPF,AGXPF
462,OTC:AGXXF,AGXXF
463,OTC:AGYP,AGYP
464,NASDAQ:AGYS,AGYS
465,AMEX:AGZ,AGZ
466,NASDAQ:AGZD,AGZD
467,OTC:AHAG,AHAG
468,OTC:AHASS,AHASS
469,OTC:AHBLS,AHBLS
470,OTC:AHBTS,AHBTS
471,OTC:AHBYS,AHBYS
472,OTC:AHCHF,AHCHF
473,OTC:AHCHY,AHCHY
474,NASDAQ:AHCO,AHCO
475,OTC:AHEGS,AHEGS
476,OTC:AHEXY,AHEXY
477,OTC:AHFCF,AHFCF
478,OTC:AHFD,AHFD
479,OTC:AHFI,AHFI
480,OTC:AHFKS,AHFKS
481,OTC:AHFOS,AHFOS
482,OTC:AHFWS,AHFWS
483,NASDAQ:AHG,AHG
484,NYSE:AHH,AHH
485,NYSE:AHH/PA,AHH/PA
486,OTC:AHHBS,AHHBS
487,OTC:AHICF,AHICF
488,OTC:AHIX,AHIX
489,OTC:AHKSF,AHKSF
490,OTC:AHKSY,AHKSY
491,NYSE:AHL,AHL
492,NYSE:AHL/PD,AHL/PD
493,NYSE:AHL/PE,AHL/PE
494,NYSE:AHL/PF,AHL/PF
495,OTC:AHLAS,AHLAS
496,AMEX:AHLT,AHLT
497,OTC:AHMKS,AHMKS
498,OTC:AHMMS,AHMMS
499,OTC:AHMTS,AHMTS
500,OTC:AHMYS,AHMYS
501,OTC:AHNRF,AHNRF
502,OTC:AHODF,AHODF
503,OTC:AHOTF,AHOTF
504,OTC:AHPLS,AHPLS
505,OTC:AHPPS,AHPPS
506,NYSE:AHR,AHR
507,OTC:AHRO,AHRO
508,OTC:AHSIS,AHSIS
509,OTC:AHSKS,AHSKS
510,OTC:AHSRS,AHSRS
511,OTC:AHSTS,AHSTS
512,OTC:AHSUS,AHSUS
513,NYSE:AHT,AHT
514,NYSE:AHT/PD,AHT/PD
515,NYSE:AHT/PF,AHT/PF
516,NYSE:AHT/PG,AHT/PG
517,NYSE:AHT/PH,AHT/PH
518,NYSE:AHT/PI,AHT/PI
519,OTC:AHWWS,AHWWS
520,AMEX:AHYB,AHYB
521,NYSE:AI,AI
522,NASDAQ:AIA,AIA
523,OTC:AIABF,AIABF
524,OTC:AIAD,AIAD
525,OTC:AIAGY,AIAGY
526,AMEX:AIBD,AIBD
527,OTC:AIBGY,AIBGY
528,OTC:AIBRF,AIBRF
529,OTC:AIBT,AIBT
530,AMEX:AIBU,AIBU
531,OTC:AICAF,AICAF
532,OTC:AICOF,AICOF
533,AMEX:AIEQ,AIEQ
534,OTC:AIEV,AIEV
535,NASDAQ:AIFD,AIFD
536,NASDAQ:AIFF,AIFF
537,NASDAQ:AIFU,AIFU
538,NYSE:AIG,AIG
539,OTC:AIGFF,AIGFF
540,NASDAQ:AIHS,AIHS
541,NYSE:AII,AII
542,NYSE:AIIA.U,AIIA.U
543,NASDAQ:AIIO,AIIO
544,OTC:AIIXY,AIIXY
545,OTC:AIJTY,AIJTY
546,OTC:AILEQ,AILEQ
547,OTC:AILIH,AILIH
548,OTC:AILIM,AILIM
549,OTC:AILIN,AILIN
550,OTC:AILIO,AILIO
551,OTC:AILLI,AILLI
552,OTC:AILLM,AILLM
553,OTC:AILLN,AILLN
554,OTC:AILLO,AILLO
555,OTC:AILLP,AILLP
556,OTC:AILQF,AILQF
557,AMEX:AIM,AIM
558,NASDAQ:AIMD,AIMD
559,OTC:AIMFF,AIMFF
560,OTC:AIMH,AIMH
561,OTC:AIMLF,AIMLF
562,OTC:AIMTF,AIMTF
563,NYSE:AIN,AIN
564,OTC:AINMF,AINMF
565,AMEX:AINP,AINP
566,OTC:AINSF,AINSF
567,NYSE:AIO,AIO
568,CBOE:AIOO,AIOO
569,NASDAQ:AIOT,AIOT
570,NASDAQ:AIP,AIP
571,NASDAQ:AIPI,AIPI
572,NASDAQ:AIPO,AIPO
573,OTC:AIPUY,AIPUY
574,NASDAQ:AIQ,AIQ
575,OTC:AIQUF,AIQUF
576,OTC:AIQUY,AIQUY
577,NYSE:AIR,AIR
578,OTC:AIRDF,AIRDF
579,NASDAQ:AIRE,AIRE
580,NASDAQ:AIRG,AIRG
581,AMEX:AIRI,AIRI
582,NASDAQ:AIRJ,AIRJ
583,NASDAQ:AIRO,AIRO
584,NASDAQ:AIRR,AIRR
585,OTC:AIRRF,AIRRF
586,NASDAQ:AIRS,AIRS
587,NASDAQ:AIRT,AIRT
588,NASDAQ:AIRTP,AIRTP
589,OTC:AIRYY,AIRYY
590,AMEX:AIS,AIS
591,NASDAQ:AISP,AISP
592,OTC:AISSF,AISSF
593,OTC:AISXF,AISXF
594,NYSE:AIT,AIT
595,OTC:AITLF,AITLF
596,OTC:AITX,AITX
597,NYSE:AIV,AIV
598,OTC:AIVAF,AIVAF
599,OTC:AIVBS,AIVBS
600,AMEX:AIVC,AIVC
601,AMEX:AIVI,AIVI
602,AMEX:AIVL,AIVL
603,NASDAQ:AIXI,AIXI
604,OTC:AIXN,AIXN
605,OTC:AIXXF,AIXXF
606,AMEX:AIYY,AIYY
607,NYSE:AIZ,AIZ
608,NYSE:AIZN,AIZN
609,CBOE:AJAN,AJAN
610,NYSE:AJG,AJG
611,OTC:AJINF,AJINF
612,OTC:AJINY,AJINY
613,OTC:AJISF,AJISF
614,OTC:AJLGF,AJLGF
615,OTC:AJOY,AJOY
616,CBOE:AJUL,AJUL
617,NYSE:AKA,AKA
618,NYSE:AKAF,AKAF
619,NASDAQ:AKAM,AKAM
620,NASDAQ:AKAN,AKAN
621,NASDAQ:AKBA,AKBA
622,OTC:AKBTY,AKBTY
623,OTC:AKCCF,AKCCF
624,OTC:AKEMF,AKEMF
625,OTC:AKESF,AKESF
626,OTC:AKHOF,AKHOF
627,NYSE:AKO.A,AKO.A
628,NYSE:AKO.B,AKO.B
629,OTC:AKOIS,AKOIS
630,NYSE:AKR,AKR
631,OTC:AKRBF,AKRBF
632,OTC:AKRBY,AKRBY
633,NASDAQ:AKRO,AKRO
634,OTC:AKRTF,AKRTF
635,OTC:AKRYY,AKRYY
636,OTC:AKTAF,AKTAF
637,OTC:AKTSQ,AKTSQ
638,NASDAQ:AKTX,AKTX
639,OTC:AKZOY,AKZOY
640,NYSE:AL,AL
641,NASDAQ:ALAB,ALAB
642,AMEX:ALAI,ALAI
643,NASDAQ:ALAR,ALAR
644,OTC:ALAVF,ALAVF
645,NYSE:ALB,ALB
646,NYSE:ALB/PA,ALB/PA
647,OTC:ALBAF,ALBAF
648,OTC:ALBBY,ALBBY
649,OTC:ALBHF,ALBHF
650,OTC:ALBKY,ALBKY
651,NASDAQ:ALBT,ALBT
652,OTC:ALBY,ALBY
653,NYSE:ALC,ALC
654,OTC:ALCE,ALCE
655,OTC:ALCN,ALCN
656,NASDAQ:ALCO,ALCO
657,NASDAQ:ALCY,ALCY
658,NASDAQ:ALCYU,ALCYU
659,NASDAQ:ALDF,ALDF
660,NASDAQ:ALDFU,ALDFU
661,OTC:ALDGS,ALDGS
662,OTC:ALDS,ALDS
663,OTC:ALDVF,ALDVF
664,NASDAQ:ALDX,ALDX
665,NYSE:ALE,ALE
666,OTC:ALEAF,ALEAF
667,NASDAQ:ALEC,ALEC
668,OTC:ALEEF,ALEEF
669,NYSE:ALEX,ALEX
670,NASDAQ:ALF,ALF
671,OTC:ALFFF,ALFFF
672,OTC:ALFIQ,ALFIQ
673,OTC:ALFVY,ALFVY
674,NYSE:ALG,ALG
675,OTC:ALGEF,ALGEF
676,NASDAQ:ALGM,ALGM
677,NASDAQ:ALGN,ALGN
678,NASDAQ:ALGS,ALGS
679,NASDAQ:ALGT,ALGT
680,NYSE:ALH,ALH
681,NASDAQ:ALHC,ALHC
682,OTC:ALID,ALID
683,NASDAQ:ALIL,ALIL
684,NYSE:ALIT,ALIT
685,OTC:ALIZF,ALIZF
686,OTC:ALIZY,ALIZY
687,NYSE:ALK,ALK
688,OTC:ALKEF,ALKEF
689,OTC:ALKM,ALKM
690,NASDAQ:ALKS,ALKS
691,NASDAQ:ALKT,ALKT
692,NYSE:ALL,ALL
693,NYSE:ALL/PB,ALL/PB
694,NYSE:ALL/PH,ALL/PH
695,NYSE:ALL/PI,ALL/PI
696,NYSE:ALL/PJ,ALL/PJ
697,NYSE:ALLE,ALLE
698,OTC:ALLGF,ALLGF
699,OTC:ALLIF,ALLIF
700,NASDAQ:ALLO,ALLO
701,NASDAQ:ALLR,ALLR
702,NASDAQ:ALLT,ALLT
703,NASDAQ:ALLW,ALLW
704,NYSE:ALLY,ALLY
705,NASDAQ:ALM,ALM
706,OTC:ALMMF,ALMMF
707,NASDAQ:ALMS,ALMS
708,NASDAQ:ALMU,ALMU
709,OTC:ALMY,ALMY
710,OTC:ALNPY,ALNPY
711,NASDAQ:ALNT,ALNT
712,NASDAQ:ALNY,ALNY
713,OTC:ALOD,ALOD
714,OTC:ALORY,ALORY
715,NASDAQ:ALOT,ALOT
716,OTC:ALPIB,ALPIB
717,OTC:ALPKF,ALPKF
718,OTC:ALPMF,ALPMF
719,OTC:ALPMY,ALPMY
720,OTC:ALPP,ALPP
721,OTC:ALRDF,ALRDF
722,AMEX:ALRG,ALRG
723,NASDAQ:ALRM,ALRM
724,NASDAQ:ALRS,ALRS
725,OTC:ALRTF,ALRTF
726,OTC:ALSMY,ALSMY
727,NYSE:ALSN,ALSN
728,OTC:ALSSF,ALSSF
729,OTC:ALST,ALST
730,NASDAQ:ALT,ALT
731,OTC:ALTAF,ALTAF
732,NYSE:ALTG,ALTG
733,NYSE:ALTG/PA,ALTG/PA
734,OTC:ALTHF,ALTHF
735,NASDAQ:ALTI,ALTI
736,AMEX:ALTL,ALTL
737,NASDAQ:ALTO,ALTO
738,OTC:ALTPF,ALTPF
739,NASDAQ:ALTS,ALTS
740,OTC:ALTX,ALTX
741,NASDAQ:ALTY,ALTY
742,NYSE:ALUR,ALUR
743,NYSE:ALV,ALV
744,OTC:ALVLF,ALVLF
745,NASDAQ:ALVO,ALVO
746,OTC:ALVOF,ALVOF
747,NYSE:ALX,ALX
748,NASDAQ:ALXO,ALXO
749,OTC:ALXPF,ALXPF
750,OTC:ALXXF,ALXXF
751,OTC:ALYAF,ALYAF
752,OTC:ALYI,ALYI
753,OTC:ALZCF,ALZCF
754,NASDAQ:ALZN,ALZN
755,NYSE:AM,AM
756,OTC:AMADF,AMADF
757,OTC:AMADY,AMADY
758,NASDAQ:AMAL,AMAL
759,NASDAQ:AMAT,AMAT
760,AMEX:AMAX,AMAX
761,NASDAQ:AMBA,AMBA
762,OTC:AMBBY,AMBBY
763,NYSE:AMBC,AMBC
764,OTC:AMBFF,AMBFF
765,AMEX:AMBI,AMBI
766,OTC:AMBK,AMBK
767,AMEX:AMBO,AMBO
768,NYSE:AMBP,AMBP
769,NYSE:AMBQ,AMBQ
770,NASDAQ:AMBR,AMBR
771,OTC:AMBZ,AMBZ
772,NYSE:AMC,AMC
773,OTC:AMCCF,AMCCF
774,NYSE:AMCR,AMCR
775,NASDAQ:AMCX,AMCX
776,NASDAQ:AMD,AMD
777,NASDAQ:AMDD,AMDD
778,NASDAQ:AMDG,AMDG
779,NASDAQ:AMDL,AMDL
780,OTC:AMDLY,AMDLY
781,OTC:AMDOF,AMDOF
782,NASDAQ:AMDU,AMDU
783,CBOE:AMDW,AMDW
784,AMEX:AMDY,AMDY
785,NYSE:AME,AME
786,OTC:AMEGF,AMEGF
787,OTC:AMEN,AMEN
788,OTC:AMFC,AMFC
789,OTC:AMFL,AMFL
790,OTC:AMFPF,AMFPF
791,NYSE:AMG,AMG
792,OTC:AMGDF,AMGDF
793,NASDAQ:AMGN,AMGN
794,OTC:AMGRF,AMGRF
795,NYSE:AMH,AMH
